5,-1,-5,38,27,9,-2,1
-9,2,4,3,21,9,-7,-11
-2,-5,-5,-14,-12,3,8,9
-5,-9,-20,-6,2,-4,-3,-6
-1,-3,5,-26,-20,-11,2,3
-5,1,-8,1,-11,-5,-5,-8
2,6,6,-4,-1,3,4,5
12,0,-6,0,-5,-3,-3,7
2,5,3,-16,-7,-5,-4,-4
-3,0,-9,15,9,0,-4,-8
0,5,28,-2,-7,0,-2,6
-12,-7,1,2,7,2,-5,-6
-2,6,7,7,1,3,2,0
-12,0,15,21,15,-18,-5,-6
6,-2,22,1,-1,12,3,14
27,-25,-86,-44,-13,-3,-16,-8
3,0,-7,-6,13,3,5,-2
8,2,3,1,-2,-2,-4,2
2,26,39,12,-1,-17,-5,2
-26,-17,13,16,5,8,12,3
-2,-18,-46,-27,-14,-9,-4,-8
-6,-10,9,-8,-1,-3,-14,-13
1,1,-8,7,5,8,8,5
-2,17,15,13,5,1,-2,8
-2,13,36,13,0,-2,0,-12
-4,-7,-22,3,-3,11,2,5
-3,-14,-51,-20,-12,-8,-5,-3
0,11,10,4,0,-6,-6,-9
-29,-17,4,-5,-6,-19,-4,-3
8,24,51,19,21,35,13,15
28,-6,-34,-15,0,11,8,9
12,-17,-53,-28,-20,-15,-16,4
26,6,5,11,5,0,5,31
-90,1,23,18,4,-17,-15,-25
40,19,24,-3,-1,-7,19,-22
9,2,5,19,17,24,16,8
-7,-3,-4,-4,2,-2,-9,-2
7,-16,-27,-14,-9,-7,2,3
-5,9,18,1,-4,-8,-6,10
-15,12,19,2,-4,-13,2,-2
-16,2,-2,-3,-4,15,0,-14
23,1,0,-4,-3,3,-3,-13
-8,-22,-15,-8,-8,-4,-2,2
-79,-7,12,4,5,-2,-20,-41
79,14,5,5,1,8,-4,22
16,14,-16,-11,-8,0,8,-2
-23,-17,-8,-4,-5,-6,-11,-12
2,5,-1,2,4,0,11,-1
-12,-4,13,3,-1,1,1,-8
5,-3,-12,-6,-8,-4,1,9
-15,-8,-15,-6,-5,-2,-1,-9
19,20,15,6,4,5,4,12
-13,-12,-4,1,2,-11,0,-8
25,-2,3,-8,-2,10,3,10
-18,8,8,12,-11,-7,-1,6
14,-4,-9,10,15,-1,1,2
-8,-5,-10,-12,7,0,4,3
-11,-12,-15,-15,-4,-9,-7,-12
6,-4,14,3,1,4,-1,7
8,2,13,6,-12,-1,0,4
-11,-3,-26,19,22,9,-1,-11
6,-3,-11,-7,-3,-2,-3,4
4,15,43,-1,-6,4,1,-3
14,15,17,-36,-69,-18,-3,7
-27,-52,-67,44,43,16,0,-8
7,2,9,2,5,3,0,2
-4,-2,-12,-9,1,-8,-5,0
-3,-1,-2,-15,6,2,-2,-2
0,11,55,-10,-39,-6,-2,-14
1,7,-20,30,-1,-4,-4,-3
-7,-12,-65,-72,-8,-5,-2,-4
1,5,7,-1,-5,-3,2,1
12,12,-10,-20,-13,-5,-3,14
-20,-12,30,30,27,10,9,-15
-13,-12,4,15,-2,0,1,-4
1,24,1,7,16,1,-5,2
-6,-17,14,4,-2,1,-2,-5
-1,-16,-3,-10,-10,-9,-8,2
0,-4,17,13,4,6,-2,6
-4,-21,-51,13,-6,-5,1,-5
-15,-8,43,-67,-49,-7,-4,0
13,19,3,49,4,-1,-1,4
2,-11,-43,-11,56,23,8,3
9,-9,-57,-42,-5,2,2,3
-6,2,13,-28,-25,-9,-4,-6
2,-5,0,-35,-39,-11,-5,10
3,-1,-14,23,-10,-4,-4,2
-9,-37,-81,-72,-6,-12,-4,21
33,17,33,12,-7,-3,1,-10
23,25,27,-4,3,1,2,-8
-11,-2,-46,32,6,-1,-7,-11
4,1,19,38,10,-1,8,30
-18,2,26,52,8,0,-7,-26
-9,-12,-46,-47,-7,-4,-4,-2
12,7,17,-23,-7,-5,-12,0
0,-23,17,29,5,4,-2,-8
5,37,-4,-23,16,15,13,21
-16,-21,-25,-1,2,-3,-1,-2
8,13,60,48,-21,-10,-10,-15
-8,1,3,-33,-2,-2,-2,-13
-10,-11,-29,-6,6,4,0,5
9,-4,6,-2,-1,6,3,14
10,-7,9,14,0,3,12,56
25,10,37,53,19,11,-5,-37
1,2,-7,-3,-4,-9,-2,4
-9,-9,14,-10,-11,-3,-2,-9
6,-4,-20,-15,-6,-7,1,16
4,1,-36,-7,4,4,4,4
-2,23,37,65,14,7,2,7
-7,0,22,59,-2,-11,-10,3
-10,1,14,-69,-19,-7,-9,-64
-11,13,-47,14,1,2,3,0
1,-19,-38,-73,-23,-13,-4,-3
-3,-2,5,28,17,6,-1,3
1,-4,4,53,4,-5,-7,-1
4,-5,47,-23,-12,-6,16,40
45,24,43,14,11,-7,-19,-35
-1,4,-31,-25,-4,-5,7,-9
-14,-7,-8,-15,-8,12,8,-9
12,6,25,7,2,-15,-5,0
-14,-3,1,26,8,18,7,18
1,-8,-45,-17,-3,-3,-4,-14
-1,32,86,56,9,2,4,29
-1,-11,-44,-27,-4,-2,1,14
-9,-7,-19,-23,-4,-4,-1,-5
-4,-10,0,-22,-9,-9,-6,-3
-14,-19,-36,19,0,0,3,-8
1,15,55,15,5,4,-6,-9
-9,-19,-52,1,-8,-3,2,0
13,11,-17,-26,3,6,4,27
-6,-25,-4,-5,-5,-9,-11,-34
-4,2,17,15,-2,12,4,-6
2,6,30,4,-1,1,0,-3
5,-9,3,50,9,-9,-11,-1
-5,11,-29,-53,-8,-19,-11,8
-14,-14,12,31,3,26,13,-12
-16,1,-11,-8,-2,0,2,-32
0,9,14,11,6,1,-12,-5
4,-3,14,-9,-1,0,23,4
-25,-11,1,-13,-4,-12,-30,-40
4,-5,-32,-6,-2,1,7,31
7,5,-3,-3,0,0,-4,-2
-1,10,45,11,7,7,-1,6
-7,-8,-16,-30,-12,-12,-6,-20
-2,-14,-39,-26,-1,2,6,9
-4,6,26,-1,-6,-2,0,-3
14,7,-21,-18,13,4,5,17
-5,-6,27,59,11,5,8,0
-4,-2,-25,-26,-10,-16,-10,8
4,-3,-44,-30,-8,6,7,-3
-17,-16,-21,-18,-11,1,-1,-10
-1,-1,2,15,10,-8,1,30
-11,8,26,22,4,-9,-19,-67
-41,-4,-6,-4,-7,13,-2,-4
-6,-13,-7,12,-2,-16,-12,16
46,16,22,-8,12,26,30,61
-27,-19,-56,-51,-13,-5,-3,-34
-4,1,34,6,2,-5,0,-10
-24,-3,-25,31,-4,-7,-13,-27
1,-5,-9,-34,-8,-11,-15,-3
4,11,61,51,7,6,8,30
13,-5,-30,1,-2,5,2,3
10,3,-37,-34,-1,-4,-4,3
-9,-1,-17,5,-6,-6,-6,-17
11,-1,-2,13,6,8,3,21
-7,-14,-17,-13,-12,-18,-5,-7
17,22,19,14,6,9,12,12
-15,-9,-21,-12,-7,-4,-6,-21
-3,-3,11,-1,8,6,2,7
14,12,14,-10,5,2,2,11
2,-14,-5,-21,-5,5,3,31
8,5,18,-12,-10,-16,-15,-24
4,-5,-17,13,-2,-15,-13,31
8,12,31,21,4,20,35,11
-1,7,-1,-26,-3,3,-6,-26
-21,-7,11,18,2,-7,-14,-44
35,-14,-5,14,0,-14,-10,68
-21,-18,10,-24,1,9,14,-23
2,5,3,-16,-7,-5,-4,-4
-3,0,-9,15,9,0,-4,-8
0,5,28,-2,-7,0,-2,6
-12,-7,1,2,7,2,-5,-6
-2,6,7,7,1,3,2,0
-12,0,15,21,15,-18,-5,-6
6,-2,22,1,-1,12,3,14
27,-25,-86,-44,-13,-3,-16,-8
3,0,-7,-6,13,3,5,-2
8,2,3,1,-2,-2,-4,2
2,26,39,12,-1,-17,-5,2
-26,-17,13,16,5,8,12,3
-2,-18,-46,-27,-14,-9,-4,-8
-6,-10,9,-8,-1,-3,-14,-13
1,1,-8,7,5,8,8,5
-2,17,15,13,5,1,-2,8
-2,13,36,13,0,-2,0,-12
-4,-7,-22,3,-3,11,2,5
-3,-14,-51,-20,-12,-8,-5,-3
0,11,10,4,0,-6,-6,-9
-29,-17,4,-5,-6,-19,-4,-3
8,24,51,19,21,35,13,15
28,-6,-34,-15,0,11,8,9
12,-17,-53,-28,-20,-15,-16,4
26,6,5,11,5,0,5,31
-90,1,23,18,4,-17,-15,-25
40,19,24,-3,-1,-7,19,-22
9,2,5,19,17,24,16,8
-7,-3,-4,-4,2,-2,-9,-2
7,-16,-27,-14,-9,-7,2,3
-5,9,18,1,-4,-8,-6,10
-15,12,19,2,-4,-13,2,-2
-16,2,-2,-3,-4,15,0,-14
23,1,0,-4,-3,3,-3,-13
-8,-22,-15,-8,-8,-4,-2,2
-79,-7,12,4,5,-2,-20,-41
79,14,5,5,1,8,-4,22
16,14,-16,-11,-8,0,8,-2
-23,-17,-8,-4,-5,-6,-11,-12
2,5,-1,2,4,0,11,-1
-12,-4,13,3,-1,1,1,-8
5,-3,-12,-6,-8,-4,1,9
-15,-8,-15,-6,-5,-2,-1,-9
19,20,15,6,4,5,4,12
-13,-12,-4,1,2,-11,0,-8
25,-2,3,-8,-2,10,3,10
-18,8,8,12,-11,-7,-1,6
14,-4,-9,10,15,-1,1,2
-8,-5,-10,-12,7,0,4,3
-11,-12,-15,-15,-4,-9,-7,-12
6,-4,14,3,1,4,-1,7
8,2,13,6,-12,-1,0,4
-11,-3,-26,19,22,9,-1,-11
6,-3,-11,-7,-3,-2,-3,4
4,15,43,-1,-6,4,1,-3
14,15,17,-36,-69,-18,-3,7
-27,-52,-67,44,43,16,0,-8
7,2,9,2,5,3,0,2
-4,-2,-12,-9,1,-8,-5,0
-3,-1,-2,-15,6,2,-2,-2
0,11,55,-10,-39,-6,-2,-14
1,7,-20,30,-1,-4,-4,-3
-7,-12,-65,-72,-8,-5,-2,-4
1,5,7,-1,-5,-3,2,1
12,12,-10,-20,-13,-5,-3,14
-20,-12,30,30,27,10,9,-15
-13,-12,4,15,-2,0,1,-4
1,24,1,7,16,1,-5,2
-6,-17,14,4,-2,1,-2,-5
-1,-16,-3,-10,-10,-9,-8,2
0,-4,17,13,4,6,-2,6
-4,-21,-51,13,-6,-5,1,-5
-15,-8,43,-67,-49,-7,-4,0
13,19,3,49,4,-1,-1,4
2,-11,-43,-11,56,23,8,3
9,-9,-57,-42,-5,2,2,3
-6,2,13,-28,-25,-9,-4,-6
2,-5,0,-35,-39,-11,-5,10
3,-1,-14,23,-10,-4,-4,2
-9,-37,-81,-72,-6,-12,-4,21
33,17,33,12,-7,-3,1,-10
23,25,27,-4,3,1,2,-8
-11,-2,-46,32,6,-1,-7,-11
4,1,19,38,10,-1,8,30
-18,2,26,52,8,0,-7,-26
-9,-12,-46,-47,-7,-4,-4,-2
12,7,17,-23,-7,-5,-12,0
0,-23,17,29,5,4,-2,-8
5,37,-4,-23,16,15,13,21
-16,-21,-25,-1,2,-3,-1,-2
8,13,60,48,-21,-10,-10,-15
-8,1,3,-33,-2,-2,-2,-13
-10,-11,-29,-6,6,4,0,5
9,-4,6,-2,-1,6,3,14
10,-7,9,14,0,3,12,56
25,10,37,53,19,11,-5,-37
1,2,-7,-3,-4,-9,-2,4
-9,-9,14,-10,-11,-3,-2,-9
6,-4,-20,-15,-6,-7,1,16
4,1,-36,-7,4,4,4,4
-2,23,37,65,14,7,2,7
-7,0,22,59,-2,-11,-10,3
-10,1,14,-69,-19,-7,-9,-64
-11,13,-47,14,1,2,3,0
1,-19,-38,-73,-23,-13,-4,-3
-3,-2,5,28,17,6,-1,3
1,-4,4,53,4,-5,-7,-1
4,-5,47,-23,-12,-6,16,40
45,24,43,14,11,-7,-19,-35
-1,4,-31,-25,-4,-5,7,-9
-14,-7,-8,-15,-8,12,8,-9
12,6,25,7,2,-15,-5,0
-14,-3,1,26,8,18,7,18
1,-8,-45,-17,-3,-3,-4,-14
-1,32,86,56,9,2,4,29
-1,-11,-44,-27,-4,-2,1,14
-9,-7,-19,-23,-4,-4,-1,-5
-4,-10,0,-22,-9,-9,-6,-3
-14,-19,-36,19,0,0,3,-8
1,15,55,15,5,4,-6,-9
-9,-19,-52,1,-8,-3,2,0
13,11,-17,-26,3,6,4,27
-6,-25,-4,-5,-5,-9,-11,-34
-4,2,17,15,-2,12,4,-6
2,6,30,4,-1,1,0,-3
5,-9,3,50,9,-9,-11,-1
-5,11,-29,-53,-8,-19,-11,8
-14,-14,12,31,3,26,13,-12
-16,1,-11,-8,-2,0,2,-32
0,9,14,11,6,1,-12,-5
4,-3,14,-9,-1,0,23,4
-25,-11,1,-13,-4,-12,-30,-40
4,-5,-32,-6,-2,1,7,31
7,5,-3,-3,0,0,-4,-2
-1,10,45,11,7,7,-1,6
-7,-8,-16,-30,-12,-12,-6,-20
-2,-14,-39,-26,-1,2,6,9
-4,6,26,-1,-6,-2,0,-3
14,7,-21,-18,13,4,5,17
-5,-6,27,59,11,5,8,0
-4,-2,-25,-26,-10,-16,-10,8
4,-3,-44,-30,-8,6,7,-3
-17,-16,-21,-18,-11,1,-1,-10
-1,-1,2,15,10,-8,1,30
-11,8,26,22,4,-9,-19,-67
-41,-4,-6,-4,-7,13,-2,-4
-6,-13,-7,12,-2,-16,-12,16
46,16,22,-8,12,26,30,61
-27,-19,-56,-51,-13,-5,-3,-34
-4,1,34,6,2,-5,0,-10
-24,-3,-25,31,-4,-7,-13,-27
1,-5,-9,-34,-8,-11,-15,-3
4,11,61,51,7,6,8,30
13,-5,-30,1,-2,5,2,3
10,3,-37,-34,-1,-4,-4,3
-9,-1,-17,5,-6,-6,-6,-17
11,-1,-2,13,6,8,3,21
-7,-14,-17,-13,-12,-18,-5,-7
17,22,19,14,6,9,12,12
-15,-9,-21,-12,-7,-4,-6,-21
-3,-3,11,-1,8,6,2,7
14,12,14,-10,5,2,2,11
2,-14,-5,-21,-5,5,3,31
8,5,18,-12,-10,-16,-15,-24
4,-5,-17,13,-2,-15,-13,31
8,12,31,21,4,20,35,11
-1,7,-1,-26,-3,3,-6,-26
-21,-7,11,18,2,-7,-14,-44
35,-14,-5,14,0,-14,-10,68
-21,-18,10,-24,1,9,14,-23
5,11,-1,-26,-1,12,-4,-14
1,-8,0,26,8,2,6,9
8,21,56,39,4,-3,1,-25
-7,-15,-62,-35,-6,-9,-8,-2
14,0,69,6,-3,6,6,22
9,15,-31,18,3,-5,-7,-10
0,-1,-23,-28,-2,6,15,20
-18,-11,-14,-12,-9,-12,-13,-43
20,10,12,-3,-3,4,5,12
-11,8,-5,-5,-3,4,-8,-1
2,3,-8,-19,-4,-5,-11,-2
-3,-8,6,20,3,5,12,5
10,-2,8,-11,0,-7,1,4
-1,5,11,-2,0,5,10,9
-11,-17,-26,9,-3,-5,2,3
10,13,-11,-27,7,8,-11,-17
-7,-8,-23,27,1,-6,-9,1
33,21,114,35,3,7,17,19
-21,-14,-73,-51,-8,3,1,-19
0,3,20,18,1,0,-1,19
-9,1,-9,-1,-8,0,-22,-6
-18,-7,-19,8,9,-1,-7,-19
11,6,19,17,-2,5,5,-1
-6,-8,-2,-29,-4,-12,-14,3
-7,-18,-33,8,3,7,14,19
-9,-11,-24,-26,-3,-4,-17,-29
-17,-1,10,2,2,2,18,-6
9,13,21,15,-1,-10,-2,17
-1,4,-6,-6,3,-3,3,-14
-10,0,9,9,-1,-1,-3,1
-16,2,-2,-3,-4,15,0,-14
23,1,0,-4,-3,3,-3,-13
-8,-22,-15,-8,-8,-4,-2,2
-79,-7,12,4,5,-2,-20,-41
79,14,5,5,1,8,-4,22
16,14,-16,-11,-8,0,8,-2
-23,-17,-8,-4,-5,-6,-11,-12
2,5,-1,2,4,0,11,-1
-12,-4,13,3,-1,1,1,-8
5,-3,-12,-6,-8,-4,1,9
-15,-8,-15,-6,-5,-2,-1,-9
19,20,15,6,4,5,4,12
-13,-12,-4,1,2,-11,0,-8
25,-2,3,-8,-2,10,3,10
-18,8,8,12,-11,-7,-1,6
14,-4,-9,10,15,-1,1,2
-8,-5,-10,-12,7,0,4,3
-11,-12,-15,-15,-4,-9,-7,-12
6,-4,14,3,1,4,-1,7
8,2,13,6,-12,-1,0,4
-11,-3,-26,19,22,9,-1,-11
6,-3,-11,-7,-3,-2,-3,4
4,15,43,-1,-6,4,1,-3
14,15,17,-36,-69,-18,-3,7
-27,-52,-67,44,43,16,0,-8
7,2,9,2,5,3,0,2
-4,-2,-12,-9,1,-8,-5,0
-3,-1,-2,-15,6,2,-2,-2
0,11,55,-10,-39,-6,-2,-14
1,7,-20,30,-1,-4,-4,-3
-7,-12,-65,-72,-8,-5,-2,-4
1,5,7,-1,-5,-3,2,1
12,12,-10,-20,-13,-5,-3,14
-20,-12,30,30,27,10,9,-15
-13,-12,4,15,-2,0,1,-4
1,24,1,7,16,1,-5,2
-6,-17,14,4,-2,1,-2,-5
-1,-16,-3,-10,-10,-9,-8,2
0,-4,17,13,4,6,-2,6
-4,-21,-51,13,-6,-5,1,-5
-15,-8,43,-67,-49,-7,-4,0
13,19,3,49,4,-1,-1,4
2,-11,-43,-11,56,23,8,3
9,-9,-57,-42,-5,2,2,3
-6,2,13,-28,-25,-9,-4,-6
2,-5,0,-35,-39,-11,-5,10
3,-1,-14,23,-10,-4,-4,2
-9,-37,-81,-72,-6,-12,-4,21
33,17,33,12,-7,-3,1,-10
23,25,27,-4,3,1,2,-8
-11,-2,-46,32,6,-1,-7,-11
4,1,19,38,10,-1,8,30
-18,2,26,52,8,0,-7,-26
-9,-12,-46,-47,-7,-4,-4,-2
12,7,17,-23,-7,-5,-12,0
0,-23,17,29,5,4,-2,-8
5,37,-4,-23,16,15,13,21
-16,-21,-25,-1,2,-3,-1,-2
8,13,60,48,-21,-10,-10,-15
-8,1,3,-33,-2,-2,-2,-13
-10,-11,-29,-6,6,4,0,5
9,-4,6,-2,-1,6,3,14
10,-7,9,14,0,3,12,56
25,10,37,53,19,11,-5,-37
1,2,-7,-3,-4,-9,-2,4
-9,-9,14,-10,-11,-3,-2,-9
6,-4,-20,-15,-6,-7,1,16
4,1,-36,-7,4,4,4,4
-2,23,37,65,14,7,2,7
-7,0,22,59,-2,-11,-10,3
-10,1,14,-69,-19,-7,-9,-64
-11,13,-47,14,1,2,3,0
1,-19,-38,-73,-23,-13,-4,-3
-3,-2,5,28,17,6,-1,3
1,-4,4,53,4,-5,-7,-1
4,-5,47,-23,-12,-6,16,40
45,24,43,14,11,-7,-19,-35
-1,4,-31,-25,-4,-5,7,-9
-14,-7,-8,-15,-8,12,8,-9
12,6,25,7,2,-15,-5,0
-14,-3,1,26,8,18,7,18
1,-8,-45,-17,-3,-3,-4,-14
-1,32,86,56,9,2,4,29
-1,-11,-44,-27,-4,-2,1,14
-9,-7,-19,-23,-4,-4,-1,-5
-4,-10,0,-22,-9,-9,-6,-3
-14,-19,-36,19,0,0,3,-8
1,15,55,15,5,4,-6,-9
-9,-19,-52,1,-8,-3,2,0
13,11,-17,-26,3,6,4,27
-6,-25,-4,-5,-5,-9,-11,-34
-4,2,17,15,-2,12,4,-6
2,6,30,4,-1,1,0,-3
5,-9,3,50,9,-9,-11,-1
