3,4,1,2,-6,-8,-9,-6
-5,6,-2,-2,-5,0,-5,-1
0,17,1,-3,-2,-1,9,-8
18,6,0,-3,-2,1,8,16
12,-8,-2,-2,-1,-1,2,32
0,-1,-2,2,2,-3,-8,-16
-2,-12,-1,0,-4,-8,-1,-4
-21,-16,-1,0,0,3,-20,-5
16,18,3,0,7,5,5,-1
-7,-3,-5,-1,-3,-12,-9,12
-2,2,-2,2,-8,-1,3,4
7,-3,0,2,10,1,-3,-8
1,-5,-2,-1,-1,7,13,-3
-2,2,-5,-10,-18,-5,-6,-4
-6,0,3,1,11,-4,-20,-18
4,2,3,7,0,-4,-3,7
-10,-2,-1,1,0,2,7,-1
8,-8,-3,-2,1,0,2,-9
-18,-5,-3,-8,-11,-6,3,4
8,11,2,-3,-6,-6,-17,1
17,-2,3,0,5,4,13,4
-6,6,1,3,-1,1,0,21
-9,-15,-2,2,9,5,7,-9
-6,5,-3,3,3,1,4,-1
-7,3,-3,-5,-8,-11,-18,-1
6,-6,-1,-7,-12,-2,-1,3
10,4,-1,1,1,4,-1,7
0,10,0,3,11,-2,5,-1
9,-7,4,3,1,2,5,8
-7,16,-2,-3,1,-1,-4,-2
7,-19,-2,-8,-17,2,5,2
-12,-1,-4,-7,-2,-6,-22,-20
-11,4,4,7,8,1,6,8
-27,-7,3,0,-6,1,-9,11
-15,10,1,4,5,-2,12,-34
0,-6,-1,0,-1,1,2,2
-7,1,-3,-3,0,-1,-5,-11
9,9,-5,-6,-3,8,12,3
19,1,4,4,-3,-8,-27,37
-10,-8,3,2,1,2,32,4
-6,18,-1,-3,6,-6,-29,-23
-16,-27,-8,-5,-5,-6,-13,-18
-11,9,-2,4,3,2,-3,3
-1,-8,-1,-1,-5,-7,-3,-6
14,2,7,2,0,11,24,15
4,11,-5,-5,-3,-8,-10,-3
13,-3,-1,1,-1,-8,4,27
-26,-6,-2,0,0,-3,-17,-47
-4,4,2,0,-2,11,21,-4
10,7,-2,-1,1,-6,-14,9
-38,-17,-2,0,3,-1,-1,-20
25,17,4,2,5,7,3,13
-14,-17,-7,1,1,2,-4,-10
-5,9,1,-3,-4,-1,-7,-9
12,12,1,-5,-1,6,28,16
-2,-5,2,1,-1,-5,-28,14
16,-1,-4,-3,-10,-3,12,-1
-11,-25,-3,0,4,-2,0,1
6,-9,-5,-4,2,0,-6,-8
5,10,0,2,2,-2,13,4
-5,3,3,3,-3,-2,4,11
12,8,0,-1,1,4,-2,27
-20,-7,1,-6,-11,-7,-14,-57
2,2,-3,-5,-2,1,4,5
1,-7,-5,0,6,-13,-18,0
-9,0,4,1,1,6,12,4
12,18,2,-3,-6,-4,-3,7
-8,-26,-3,2,1,6,-7,2
-13,9,-3,0,1,1,5,-2
-5,1,-3,-1,-3,-10,13,2
0,-3,2,1,-7,1,-19,-36
12,7,-5,-7,4,-5,0,-4
12,-6,-3,-3,-3,-4,-12,19
-8,-1,-1,1,-2,-1,1,-9
-6,-5,-1,-1,-2,0,2,9
5,-5,-2,-2,-1,3,7,-5
2,3,6,1,3,-2,-18,-13
-5,-3,2,2,3,-2,-8,6
-22,-13,-6,-3,-3,0,-1,-17
5,1,-1,2,0,3,-1,9
15,8,1,-2,-1,-6,-2,2
-7,-4,4,2,-3,-2,-4,-3
9,12,-3,-3,-2,0,4,23
17,-5,-1,-2,-7,1,1,5
-18,-11,-2,0,-11,-6,-9,-12
-7,3,-2,1,11,1,5,-16
12,-6,1,0,1,-4,13,15
-3,9,-5,-4,-3,-2,-5,-7
8,26,2,-3,0,0,2,-44
-8,-44,-3,-4,-6,-1,-7,-5
6,9,6,3,2,5,6,19
-7,-8,-3,-4,-11,-4,-4,4
-13,-9,-6,-7,1,-1,-1,3
10,12,1,5,6,2,2,-4
-2,-3,-1,3,7,2,-4,1
2,10,8,3,-2,3,12,7
25,-23,-10,-1,-12,-11,-12,-3
-29,3,-5,-6,1,7,15,-11
-3,-15,-4,-4,1,-9,-15,-17
2,15,3,-2,-5,2,-1,9
-11,-11,-6,-6,-1,0,23,-4
3,3,1,3,-1,-1,-21,-10
5,2,-1,0,0,0,-15,11
-22,-5,-5,-6,-2,-7,10,-14
-4,-6,0,1,2,0,0,15
18,20,2,-1,-3,2,11,3
-9,-7,4,2,2,2,-2,2
25,-1,-4,-2,0,-1,-7,-1
-2,4,0,-2,-2,1,3,40
-23,-14,-4,0,-1,-2,-2,-24
20,1,0,-3,-7,0,4,27
-22,-8,2,0,-1,4,-8,-9
-5,-1,0,-1,9,-5,-1,-16
4,10,3,4,0,-3,-3,12
-1,-1,-11,-3,-3,-3,6,0
3,-5,2,0,-5,-2,19,14
4,17,4,-3,-4,4,-14,10
-2,2,-2,-5,-2,-5,-11,-36
19,3,-4,0,2,8,19,7
-36,-8,-1,2,-1,-16,-24,-24
2,2,5,7,8,10,7,6
20,-10,3,5,6,5,17,10
-1,12,-3,-2,-1,0,0,-15
-2,-5,-3,-3,1,0,1,-4
4,-17,2,-1,-13,-4,0,10
0,0,-2,-3,0,1,5,0
-2,11,2,-1,0,-4,-8,-4
4,-10,-2,-5,-3,5,6,18
10,2,2,0,-3,-8,-6,-21
-12,6,3,4,7,3,1,10
-14,-15,-9,-3,-2,-8,-5,7
8,2,-3,2,1,0,-3,-6
18,-7,-2,-1,0,4,10,9
-3,2,0,-5,-12,-5,-20,1
0,-3,3,0,0,3,-6,9
-7,-1,-1,2,6,-6,-6,-9
2,10,3,5,3,2,-7,-9
2,-1,-3,-3,-6,-6,16,9
-34,-28,-4,-3,-2,-2,-7,-11
14,6,-2,-3,-13,5,7,6
-4,-7,-4,-3,-1,-2,-4,-7
-3,17,5,2,6,0,-7,-6
2,-5,-3,-3,-5,-6,1,-1
-2,-1,-1,0,2,1,6,1
-22,-10,-4,0,-1,8,5,1
15,1,-2,-11,-13,-13,-15,12
14,6,3,6,3,-1,2,-3
1,-6,1,2,2,3,-5,2
-22,9,-3,-3,2,3,2,-30
2,1,-5,2,2,1,16,3
-7,-19,0,-3,-6,1,-15,-7
21,3,-1,0,-1,-15,-13,7
-16,2,-1,-2,-3,-4,1,8
2,-9,0,0,-4,3,5,-4
-2,14,0,2,-3,3,14,-1
23,17,4,2,10,8,-1,-6
-5,-11,-2,-3,-5,-13,-10,11
1,-7,-5,-4,1,3,11,2
1,5,1,3,2,10,10,11
-19,-13,-3,2,-1,2,-5,3
13,0,0,-1,3,1,0,-6
-9,-7,-5,-1,-5,2,-4,-9
5,10,2,-6,-5,-5,-7,0
-4,4,3,0,2,-2,-8,-6
-21,-17,-8,1,5,-4,-5,-11
23,-2,-3,0,-12,1,-2,17
-13,-15,0,0,10,3,0,-15
7,10,3,-2,3,-7,25,-5
22,8,3,2,-2,5,-8,29
-34,-19,-6,-6,-3,-7,-11,-37
3,4,1,2,-6,-8,-9,-6
-5,6,-2,-2,-5,0,-5,-1
0,17,1,-3,-2,-1,9,-8
18,6,0,-3,-2,1,8,16
12,-8,-2,-2,-1,-1,2,32
0,-1,-2,2,2,-3,-8,-16
-2,-12,-1,0,-4,-8,-1,-4
-21,-16,-1,0,0,3,-20,-5
16,18,3,0,7,5,5,-1
-7,-3,-5,-1,-3,-12,-9,12
-2,2,-2,2,-8,-1,3,4
7,-3,0,2,10,1,-3,-8
1,-5,-2,-1,-1,7,13,-3
-2,2,-5,-10,-18,-5,-6,-4
-6,0,3,1,11,-4,-20,-18
4,2,3,7,0,-4,-3,7
-10,-2,-1,1,0,2,7,-1
8,-8,-3,-2,1,0,2,-9
-18,-5,-3,-8,-11,-6,3,4
8,11,2,-3,-6,-6,-17,1
17,-2,3,0,5,4,13,4
-6,6,1,3,-1,1,0,21
-9,-15,-2,2,9,5,7,-9
-6,5,-3,3,3,1,4,-1
-7,3,-3,-5,-8,-11,-18,-1
6,-6,-1,-7,-12,-2,-1,3
10,4,-1,1,1,4,-1,7
0,10,0,3,11,-2,5,-1
9,-7,4,3,1,2,5,8
-7,16,-2,-3,1,-1,-4,-2
7,-19,-2,-8,-17,2,5,2
-12,-1,-4,-7,-2,-6,-22,-20
-11,4,4,7,8,1,6,8
-25,-22,-7,0,2,2,-12,-34
13,7,0,2,1,4,8,9
-8,-3,0,0,-2,-4,6,24
-6,5,-4,-5,-5,-4,-11,-21
6,7,2,-1,2,5,13,18
-15,-4,-1,-1,-8,-4,-8,6
16,8,0,-2,4,4,8,-4
-13,-9,-5,-5,-8,-10,-12,-13
8,4,1,6,8,-1,-5,6
-9,-10,-4,0,4,3,13,-23
10,4,2,-2,-6,-1,-3,1
-14,-16,-4,-4,-3,3,10,-3
5,2,-3,-4,-7,-8,-21,-7
-2,7,-8,-5,3,-5,-6,9
-2,-14,-2,-1,-6,-5,-1,-9
1,7,-2,-3,-4,-4,-8,-18
15,-9,7,7,0,3,6,13
5,11,3,5,14,6,7,2
-7,-10,-8,-3,-4,5,14,7
11,8,-2,-4,-5,-7,-8,-4
11,0,-1,-2,0,-10,-7,18
-31,-1,3,0,-6,-7,-7,-11
15,12,3,-2,1,5,-2,-3
-4,-13,1,6,9,7,4,18
2,21,4,2,-1,4,12,-7
0,8,1,-1,-2,-5,-13,-30
-27,-30,-9,-6,-6,-2,-4,0
4,1,-3,0,-2,-2,5,0
10,-14,0,-5,0,5,1,2
26,17,-3,-2,-1,-3,-6,39
2,2,-3,-5,-2,1,4,5
1,-7,-5,0,6,-13,-18,0
-9,0,4,1,1,6,12,4
12,18,2,-3,-6,-4,-3,7
-8,-26,-3,2,1,6,-7,2
-13,9,-3,0,1,1,5,-2
-5,1,-3,-1,-3,-10,13,2
0,-3,2,1,-7,1,-19,-36
12,7,-5,-7,4,-5,0,-4
12,-6,-3,-3,-3,-4,-12,19
-8,-1,-1,1,-2,-1,1,-9
-6,-5,-1,-1,-2,0,2,9
5,-5,-2,-2,-1,3,7,-5
2,3,6,1,3,-2,-18,-13
-5,-3,2,2,3,-2,-8,6
-22,-13,-6,-3,-3,0,-1,-17
5,1,-1,2,0,3,-1,9
15,8,1,-2,-1,-6,-2,2
-7,-4,4,2,-3,-2,-4,-3
9,12,-3,-3,-2,0,4,23
17,-5,-1,-2,-7,1,1,5
-18,-11,-2,0,-11,-6,-9,-12
-7,3,-2,1,11,1,5,-16
12,-6,1,0,1,-4,13,15
-3,9,-5,-4,-3,-2,-5,-7
8,26,2,-3,0,0,2,-44
-8,-44,-3,-4,-6,-1,-7,-5
6,9,6,3,2,5,6,19
-7,-8,-3,-4,-11,-4,-4,4
-13,-9,-6,-7,1,-1,-1,3
10,12,1,5,6,2,2,-4
-2,-3,-1,3,7,2,-4,1
2,10,8,3,-2,3,12,7
25,-23,-10,-1,-12,-11,-12,-3
-29,3,-5,-6,1,7,15,-11
-3,-15,-4,-4,1,-9,-15,-17
2,15,3,-2,-5,2,-1,9
-11,-11,-6,-6,-1,0,23,-4
3,3,1,3,-1,-1,-21,-10
5,2,-1,0,0,0,-15,11
-22,-5,-5,-6,-2,-7,10,-14
-4,-6,0,1,2,0,0,15
18,20,2,-1,-3,2,11,3
-9,-7,4,2,2,2,-2,2
25,-1,-4,-2,0,-1,-7,-1
-2,4,0,-2,-2,1,3,40
-23,-14,-4,0,-1,-2,-2,-24
20,1,0,-3,-7,0,4,27
-22,-8,2,0,-1,4,-8,-9
-5,-1,0,-1,9,-5,-1,-16
4,10,3,4,0,-3,-3,12
-1,-1,-11,-3,-3,-3,6,0
3,-5,2,0,-5,-2,19,14
4,17,4,-3,-4,4,-14,10
-2,2,-2,-5,-2,-5,-11,-36
19,3,-4,0,2,8,19,7
-36,-8,-1,2,-1,-16,-24,-24
2,2,5,7,8,10,7,6
20,-10,3,5,6,5,17,10
-1,12,-3,-2,-1,0,0,-15
-2,-5,-3,-3,1,0,1,-4
4,-17,2,-1,-13,-4,0,10
0,0,-2,-3,0,1,5,0
-2,11,2,-1,0,-4,-8,-4
4,-10,-2,-5,-3,5,6,18
10,2,2,0,-3,-8,-6,-21
-12,6,3,4,7,3,1,10
-14,-15,-9,-3,-2,-8,-5,7
8,2,-3,2,1,0,-3,-6
18,-7,-2,-1,0,4,10,9
-3,2,0,-5,-12,-5,-20,1
0,-3,3,0,0,3,-6,9
-7,-1,-1,2,6,-6,-6,-9
2,10,3,5,3,2,-7,-9
2,-1,-3,-3,-6,-6,16,9
-34,-28,-4,-3,-2,-2,-7,-11
14,6,-2,-3,-13,5,7,6
-4,-7,-4,-3,-1,-2,-4,-7
-3,17,5,2,6,0,-7,-6
2,-5,-3,-3,-5,-6,1,-1
-2,-1,-1,0,2,1,6,1
-22,-10,-4,0,-1,8,5,1
15,1,-2,-11,-13,-13,-15,12
14,6,3,6,3,-1,2,-3
1,-6,1,2,2,3,-5,2
-22,9,-3,-3,2,3,2,-30
2,1,-5,2,2,1,16,3
-7,-19,0,-3,-6,1,-15,-7
21,3,-1,0,-1,-15,-13,7
-16,2,-1,-2,-3,-4,1,8
2,-9,0,0,-4,3,5,-4
-2,14,0,2,-3,3,14,-1
23,17,4,2,10,8,-1,-6
-5,-11,-2,-3,-5,-13,-10,11
1,-7,-5,-4,1,3,11,2
1,5,1,3,2,10,10,11
-19,-13,-3,2,-1,2,-5,3
13,0,0,-1,3,1,0,-6
-9,-7,-5,-1,-5,2,-4,-9
5,10,2,-6,-5,-5,-7,0
-4,4,3,0,2,-2,-8,-6
-21,-17,-8,1,5,-4,-5,-11
23,-2,-3,0,-12,1,-2,17
-13,-15,0,0,10,3,0,-15
7,10,3,-2,3,-7,25,-5
22,8,3,2,-2,5,-8,29
-34,-19,-6,-6,-3,-7,-11,-37
3,4,1,2,-6,-8,-9,-6
-5,6,-2,-2,-5,0,-5,-1
0,17,1,-3,-2,-1,9,-8
18,6,0,-3,-2,1,8,16
12,-8,-2,-2,-1,-1,2,32
0,-1,-2,2,2,-3,-8,-16
-2,-12,-1,0,-4,-8,-1,-4
-21,-16,-1,0,0,3,-20,-5
16,18,3,0,7,5,5,-1
-7,-3,-5,-1,-3,-12,-9,12
-2,2,-2,2,-8,-1,3,4
7,-3,0,2,10,1,-3,-8
1,-5,-2,-1,-1,7,13,-3
-2,2,-5,-10,-18,-5,-6,-4
-6,0,3,1,11,-4,-20,-18
4,2,3,7,0,-4,-3,7
-10,-2,-1,1,0,2,7,-1
8,-8,-3,-2,1,0,2,-9
-18,-5,-3,-8,-11,-6,3,4
8,11,2,-3,-6,-6,-17,1
17,-2,3,0,5,4,13,4
-6,6,1,3,-1,1,0,21
-9,-15,-2,2,9,5,7,-9
-6,5,-3,3,3,1,4,-1
-7,3,-3,-5,-8,-11,-18,-1
6,-6,-1,-7,-12,-2,-1,3
10,4,-1,1,1,4,-1,7
0,10,0,3,11,-2,5,-1
9,-7,4,3,1,2,5,8
-7,16,-2,-3,1,-1,-4,-2
7,-19,-2,-8,-17,2,5,2
-12,-1,-4,-7,-2,-6,-22,-20
-11,4,4,7,8,1,6,8
-25,-22,-7,0,2,2,-12,-34
13,7,0,2,1,4,8,9
-8,-3,0,0,-2,-4,6,24
-6,5,-4,-5,-5,-4,-11,-21
6,7,2,-1,2,5,13,18
-15,-4,-1,-1,-8,-4,-8,6
16,8,0,-2,4,4,8,-4
-13,-9,-5,-5,-8,-10,-12,-13
8,4,1,6,8,-1,-5,6
-9,-10,-4,0,4,3,13,-23
10,4,2,-2,-6,-1,-3,1
-14,-16,-4,-4,-3,3,10,-3
5,2,-3,-4,-7,-8,-21,-7
-2,7,-8,-5,3,-5,-6,9
-2,-14,-2,-1,-6,-5,-1,-9
1,7,-2,-3,-4,-4,-8,-18
15,-9,7,7,0,3,6,13
5,11,3,5,14,6,7,2
-7,-10,-8,-3,-4,5,14,7
11,8,-2,-4,-5,-7,-8,-4
11,0,-1,-2,0,-10,-7,18
-31,-1,3,0,-6,-7,-7,-11
15,12,3,-2,1,5,-2,-3
-4,-13,1,6,9,7,4,18
2,21,4,2,-1,4,12,-7
0,8,1,-1,-2,-5,-13,-30
-27,-30,-9,-6,-6,-2,-4,0
4,1,-3,0,-2,-2,5,0
10,-14,0,-5,0,5,1,2
26,17,-3,-2,-1,-3,-6,39
-9,4,2,4,1,-3,-6,-40
-2,8,2,-1,-5,-8,-6,-7
-2,5,1,0,0,10,8,-5
2,-4,3,4,9,-6,1,7
6,3,-4,0,1,7,18,13
-16,-6,1,-1,-1,-4,-21,-9
-10,-10,-8,-9,-7,-9,9,15
11,6,5,1,-3,7,6,-5
-6,1,-3,-2,3,-4,-4,-9
-11,-14,-3,0,4,-4,-15,-23
1,3,1,0,1,6,5,4
5,-6,-6,-4,-8,-9,-5,2
6,-1,1,5,0,-3,-2,3
7,19,1,-4,-3,0,15,9
-27,-31,-2,3,-5,-1,-30,-15
-14,-8,-6,-3,-1,6,14,9
24,8,0,-3,3,-6,-22,-13
7,9,-2,-1,-2,3,15,17
-16,-3,-3,0,1,4,11,-12
5,-3,1,3,-3,-2,-4,6
6,-10,-1,-2,-10,1,1,6
-13,9,-3,-3,3,-9,-11,-16
-4,-8,-5,-3,1,-2,1,-13
13,2,-1,-2,-8,5,14,9
-14,-11,4,1,2,1,-8,-11
0,-3,-2,4,4,0,4,-6
-11,1,1,4,5,4,5,-3
-3,-6,-2,-3,0,-9,-12,-4
12,5,3,0,-6,5,13,5
16,-4,0,-2,-9,9,29,22
2,10,8,3,-2,3,12,7
25,-23,-10,-1,-12,-11,-12,-3
-29,3,-5,-6,1,7,15,-11
-3,-15,-4,-4,1,-9,-15,-17
2,15,3,-2,-5,2,-1,9
-11,-11,-6,-6,-1,0,23,-4
3,3,1,3,-1,-1,-21,-10
5,2,-1,0,0,0,-15,11
-22,-5,-5,-6,-2,-7,10,-14
-4,-6,0,1,2,0,0,15
18,20,2,-1,-3,2,11,3
-9,-7,4,2,2,2,-2,2
25,-1,-4,-2,0,-1,-7,-1
-2,4,0,-2,-2,1,3,40
-23,-14,-4,0,-1,-2,-2,-24
20,1,0,-3,-7,0,4,27
-22,-8,2,0,-1,4,-8,-9
-5,-1,0,-1,9,-5,-1,-16
4,10,3,4,0,-3,-3,12
-1,-1,-11,-3,-3,-3,6,0
3,-5,2,0,-5,-2,19,14
4,17,4,-3,-4,4,-14,10
-2,2,-2,-5,-2,-5,-11,-36
19,3,-4,0,2,8,19,7
-36,-8,-1,2,-1,-16,-24,-24
2,2,5,7,8,10,7,6
20,-10,3,5,6,5,17,10
-1,12,-3,-2,-1,0,0,-15
-2,-5,-3,-3,1,0,1,-4
4,-17,2,-1,-13,-4,0,10
0,0,-2,-3,0,1,5,0
-2,11,2,-1,0,-4,-8,-4
4,-10,-2,-5,-3,5,6,18
10,2,2,0,-3,-8,-6,-21
-12,6,3,4,7,3,1,10
-14,-15,-9,-3,-2,-8,-5,7
8,2,-3,2,1,0,-3,-6
18,-7,-2,-1,0,4,10,9
-3,2,0,-5,-12,-5,-20,1
0,-3,3,0,0,3,-6,9
-7,-1,-1,2,6,-6,-6,-9
2,10,3,5,3,2,-7,-9
2,-1,-3,-3,-6,-6,16,9
-34,-28,-4,-3,-2,-2,-7,-11
14,6,-2,-3,-13,5,7,6
-4,-7,-4,-3,-1,-2,-4,-7
-3,17,5,2,6,0,-7,-6
2,-5,-3,-3,-5,-6,1,-1
-2,-1,-1,0,2,1,6,1
-22,-10,-4,0,-1,8,5,1
15,1,-2,-11,-13,-13,-15,12
14,6,3,6,3,-1,2,-3
1,-6,1,2,2,3,-5,2
-22,9,-3,-3,2,3,2,-30
2,1,-5,2,2,1,16,3
-7,-19,0,-3,-6,1,-15,-7
21,3,-1,0,-1,-15,-13,7
-16,2,-1,-2,-3,-4,1,8
2,-9,0,0,-4,3,5,-4
-2,14,0,2,-3,3,14,-1
23,17,4,2,10,8,-1,-6
-5,-11,-2,-3,-5,-13,-10,11
1,-7,-5,-4,1,3,11,2
1,5,1,3,2,10,10,11
-19,-13,-3,2,-1,2,-5,3
13,0,0,-1,3,1,0,-6
-9,-7,-5,-1,-5,2,-4,-9
5,10,2,-6,-5,-5,-7,0
-4,4,3,0,2,-2,-8,-6
-21,-17,-8,1,5,-4,-5,-11
23,-2,-3,0,-12,1,-2,17
-13,-15,0,0,10,3,0,-15
7,10,3,-2,3,-7,25,-5
22,8,3,2,-2,5,-8,29
-34,-19,-6,-6,-3,-7,-11,-37
3,4,1,2,-6,-8,-9,-6
-5,6,-2,-2,-5,0,-5,-1
0,17,1,-3,-2,-1,9,-8
18,6,0,-3,-2,1,8,16
12,-8,-2,-2,-1,-1,2,32
0,-1,-2,2,2,-3,-8,-16
-2,-12,-1,0,-4,-8,-1,-4
-21,-16,-1,0,0,3,-20,-5
16,18,3,0,7,5,5,-1
-7,-3,-5,-1,-3,-12,-9,12
-2,2,-2,2,-8,-1,3,4
7,-3,0,2,10,1,-3,-8
1,-5,-2,-1,-1,7,13,-3
-2,2,-5,-10,-18,-5,-6,-4
-6,0,3,1,11,-4,-20,-18
4,2,3,7,0,-4,-3,7
-10,-2,-1,1,0,2,7,-1
8,-8,-3,-2,1,0,2,-9
-18,-5,-3,-8,-11,-6,3,4
8,11,2,-3,-6,-6,-17,1
17,-2,3,0,5,4,13,4
