-11,-28,-41,-32,-13,-10,1,-3
-1,12,-5,-3,-4,-1,-2,0
-8,-31,-9,-4,-11,-13,-6,-17
-2,9,-2,3,3,2,2,0
7,2,23,11,13,6,5,7
11,6,0,1,-3,-1,1,21
-20,-4,-23,-16,-7,-4,-9,-12
-4,-6,22,-1,-4,-8,0,-10
3,8,-13,4,-1,3,-3,2
0,-15,-22,4,5,-1,1,-6
0,0,30,-3,2,1,-2,-6
-5,-2,-39,-7,-8,-9,-1,10
-6,9,37,2,0,3,-4,-13
-9,-14,25,-10,-7,-7,-2,5
-2,-16,-12,-1,4,4,1,-1
3,17,-5,0,-2,-2,-1,-5
3,2,-9,1,-2,-4,2,10
2,6,2,3,0,7,-14,-17
-7,-6,17,4,4,-8,0,-1
-3,8,5,-3,4,14,4,5
8,4,5,-2,-6,-6,-6,8
-7,-12,9,11,0,0,1,-6
-1,-5,-17,-14,-4,7,6,4
5,-5,-6,-2,-4,-13,-8,-3
1,9,-9,3,4,1,0,-8
-14,-3,8,-9,-9,-3,-1,-8
6,13,-8,8,-2,3,1,1
-1,-3,3,10,9,-4,1,2
-6,-13,-6,-8,-4,-3,-2,-4
0,0,-17,-3,-2,-6,-1,5
8,9,11,8,5,18,3,-2
-1,-4,6,-3,-1,4,0,0
1,-11,16,7,2,-6,1,-1
-7,-40,-69,-9,-2,5,1,-4
2,11,-33,-10,-11,-5,-1,1
-4,-20,-4,-3,6,-2,-4,-2
9,38,28,13,8,9,5,8
-10,-27,-19,-5,-3,1,5,-7
3,-16,11,-5,-4,-3,-6,0
-10,-11,28,-4,-5,-10,-11,-27
5,4,-33,-3,-1,1,-2,2
2,17,33,7,4,2,1,2
-2,-8,1,8,0,-13,-4,-5
4,20,-28,-5,1,5,4,3
-14,-28,-37,-15,-9,-6,-10,-11
6,7,7,0,-1,3,-1,-1
-5,-2,3,3,2,-1,0,4
3,3,23,8,0,8,3,7
-3,-2,-4,0,6,-6,2,-5
5,18,-7,-1,-1,-1,-1,9
1,-4,4,-1,-5,7,-1,-5
-3,3,-10,2,3,-1,5,6
7,-1,43,11,7,3,0,8
-1,11,-24,-13,-7,-4,-3,-20
3,4,22,0,0,-4,-1,6
-5,-21,-23,-9,-13,-2,1,-3
-4,2,9,2,1,-4,-1,6
7,14,-27,11,8,5,2,7
1,2,11,-9,-2,12,-1,-2
-5,-21,-11,-6,-6,-19,-5,-1
-3,-3,26,2,-6,0,-2,-3
2,10,20,6,4,-3,-1,0
5,26,-27,8,8,7,12,-2
-8,-46,-31,-22,-14,-5,-20,3
-8,-31,-16,-2,-3,-2,-2,-10
-3,7,19,1,2,0,-2,1
-2,-4,3,5,-4,-5,0,4
6,31,54,7,-1,2,7,4
3,7,-37,-8,4,-3,-1,5
-7,-10,11,-7,1,2,0,-1
-4,-26,2,-1,-5,-10,-7,-6
8,35,36,12,2,9,6,6
-9,-46,-61,-8,-6,2,-5,-18
-9,14,41,-6,-7,-3,-2,-13
0,10,-22,-3,5,-8,-4,0
3,8,-15,-1,0,8,3,-3
-1,31,79,7,5,-2,8,1
3,1,-6,-1,-2,-1,-1,8
-7,-37,-14,-7,-8,-4,-4,-7
1,22,17,2,8,-3,0,0
1,-6,-23,0,1,8,2,3
-2,-11,-2,-3,-6,-4,-3,-6
5,13,15,1,-3,-2,-2,12
-8,-6,-1,-5,4,-7,1,-8
3,-2,-13,0,-2,-3,-3,5
0,3,18,2,1,10,0,-6
4,11,-5,9,4,-10,-1,6
-6,-8,13,-2,-3,-3,-7,-25
2,2,3,-6,-7,1,2,2
2,8,18,10,3,-4,-2,2
4,8,-17,-2,4,2,-1,-3
2,-1,11,5,3,6,5,5
-8,-16,-26,-14,-13,-9,-11,2
4,-5,-12,0,-1,-1,10,10
-1,26,15,-1,0,1,-8,-10
-2,-42,-41,-7,-1,0,1,5
1,24,36,0,-2,1,-1,-6
7,3,-8,0,0,-3,2,8
-10,-17,-12,-5,1,-2,1,-6
14,17,-19,2,6,4,-1,3
-10,21,32,4,-1,3,-3,-7
3,-11,-18,-1,-2,-4,-2,1
-2,1,12,-8,-8,-3,-1,-3
-5,-25,23,3,1,6,0,4
14,12,-36,-1,3,-2,1,2
-9,-8,-48,-4,2,-4,-4,-4
6,30,93,11,1,1,2,2
-11,-31,-36,-16,-16,-5,-1,2
-5,-34,-17,-1,-1,-5,-4,-3
2,14,16,1,2,1,-2,-3
0,-17,-22,-1,3,4,2,-1
1,11,9,2,5,-3,0,0
0,12,-3,8,-5,6,3,2
0,-11,2,-10,-4,-11,-2,3
-3,-7,-34,-6,-4,-4,-12,-12
-8,14,13,-3,-3,-1,-1,-2
5,7,-9,-4,-6,-4,-1,5
0,-6,8,3,-3,2,-1,1
-6,-12,-33,2,11,0,2,0
8,24,8,1,-3,-1,0,0
-14,-41,-11,-4,3,-1,-4,-5
0,5,0,-3,-6,1,-1,-1
1,-4,-1,-8,-8,-2,-1,-1
11,6,3,10,16,6,2,5
-11,11,-3,1,0,0,2,1
-3,-14,-3,-4,-5,1,-1,-2
-10,-10,-8,-6,-11,-3,-3,-2
-2,3,4,-6,-8,-4,-2,-1
8,7,11,2,4,-1,-1,2
6,5,1,1,-2,3,3,8
11,2,5,5,1,2,5,10
0,0,-1,-5,-5,1,11,-7
-2,-15,-3,7,10,1,1,-3
-9,19,-4,-9,4,5,-10,-13
-15,-15,-11,-4,-3,-5,-4,-3
3,9,7,16,14,4,-4,5
15,-7,-4,-8,-11,-3,21,9
-9,-3,1,0,-6,-13,-68,-10
-2,2,1,-3,2,-5,1,-14
1,-5,-6,-7,-4,6,30,-1
-7,3,8,-1,-8,7,17,9
19,-1,6,6,8,1,10,-5
-13,0,-4,-3,1,1,11,30
44,1,2,6,-1,7,9,24
40,17,5,-2,0,2,6,-6
-92,-36,-11,-9,-19,-24,-67,-48
-14,-31,-18,-4,-4,-11,-67,-28
64,43,14,12,13,11,82,69
-72,-32,0,1,-2,-1,-3,-71
25,-5,-1,3,11,20,50,25
-39,-7,1,4,-7,-6,-20,-15
-43,-24,2,-14,-18,-4,-61,-79
51,19,-28,-2,2,-6,-15,69
55,48,16,9,6,11,63,44
14,-22,-13,-5,2,-2,-16,0
13,30,12,7,8,17,6,40
-6,-10,5,-1,-2,-19,-39,-12
-14,-23,-8,-3,-4,-15,-6,-33
29,20,6,1,1,9,38,37
-37,-23,-8,-7,-13,-6,1,-20
13,7,5,2,4,-16,-40,0
15,24,6,7,12,9,5,18
21,-28,4,3,1,9,24,-9
4,16,-5,-3,-6,-13,-17,-15
-41,-12,-6,-8,-9,-1,-6,7
17,5,-2,-3,-2,-2,-20,30
-111,-19,-5,4,2,1,30,-100
-38,-25,-19,-10,-6,-20,-59,-22
40,13,0,3,4,14,54,45
8,3,-31,-4,1,-4,-2,41
-5,-26,-7,-15,-8,-1,-6,-10
-3,-2,-17,-3,-8,-8,-1,-1
-1,-10,3,-5,-1,4,-1,1
7,12,-1,9,2,-3,-2,-7
-7,-10,-49,-1,0,5,3,-2
6,8,51,-2,-1,0,-3,3
-2,-11,8,-3,-2,1,0,2
-5,-2,-18,-2,0,-1,-3,-12
8,10,19,22,11,6,6,12
-11,-28,-41,-32,-13,-10,1,-3
-1,12,-5,-3,-4,-1,-2,0
-8,-31,-9,-4,-11,-13,-6,-17
-2,9,-2,3,3,2,2,0
7,2,23,11,13,6,5,7
11,6,0,1,-3,-1,1,21
-20,-4,-23,-16,-7,-4,-9,-12
-4,-6,22,-1,-4,-8,0,-10
3,8,-13,4,-1,3,-3,2
0,-15,-22,4,5,-1,1,-6
0,0,30,-3,2,1,-2,-6
-5,-2,-39,-7,-8,-9,-1,10
-6,9,37,2,0,3,-4,-13
-9,-14,25,-10,-7,-7,-2,5
-2,-16,-12,-1,4,4,1,-1
3,17,-5,0,-2,-2,-1,-5
3,2,-9,1,-2,-4,2,10
2,6,2,3,0,7,-14,-17
-7,-6,17,4,4,-8,0,-1
-3,8,5,-3,4,14,4,5
8,4,5,-2,-6,-6,-6,8
-7,-12,9,11,0,0,1,-6
-1,-5,-17,-14,-4,7,6,4
5,-5,-6,-2,-4,-13,-8,-3
1,9,-9,3,4,1,0,-8
-14,-3,8,-9,-9,-3,-1,-8
6,13,-8,8,-2,3,1,1
-1,-3,3,10,9,-4,1,2
-6,-13,-6,-8,-4,-3,-2,-4
0,0,-17,-3,-2,-6,-1,5
8,9,11,8,5,18,3,-2
-1,-4,6,-3,-1,4,0,0
1,-11,16,7,2,-6,1,-1
-7,-40,-69,-9,-2,5,1,-4
2,11,-33,-10,-11,-5,-1,1
-4,-20,-4,-3,6,-2,-4,-2
9,38,28,13,8,9,5,8
-10,-27,-19,-5,-3,1,5,-7
3,-16,11,-5,-4,-3,-6,0
-10,-11,28,-4,-5,-10,-11,-27
5,4,-33,-3,-1,1,-2,2
2,17,33,7,4,2,1,2
-2,-8,1,8,0,-13,-4,-5
4,20,-28,-5,1,5,4,3
-14,-28,-37,-15,-9,-6,-10,-11
6,7,7,0,-1,3,-1,-1
-5,-2,3,3,2,-1,0,4
3,3,23,8,0,8,3,7
-3,-2,-4,0,6,-6,2,-5
5,18,-7,-1,-1,-1,-1,9
1,-4,4,-1,-5,7,-1,-5
-3,3,-10,2,3,-1,5,6
7,-1,43,11,7,3,0,8
-1,11,-24,-13,-7,-4,-3,-20
3,4,22,0,0,-4,-1,6
-5,-21,-23,-9,-13,-2,1,-3
-4,2,9,2,1,-4,-1,6
7,14,-27,11,8,5,2,7
1,2,11,-9,-2,12,-1,-2
-5,-21,-11,-6,-6,-19,-5,-1
-3,-3,26,2,-6,0,-2,-3
2,10,20,6,4,-3,-1,0
5,26,-27,8,8,7,12,-2
-8,-46,-31,-22,-14,-5,-20,3
-8,-31,-16,-2,-3,-2,-2,-10
-3,7,19,1,2,0,-2,1
-2,-4,3,5,-4,-5,0,4
6,31,54,7,-1,2,7,4
3,7,-37,-8,4,-3,-1,5
-7,-10,11,-7,1,2,0,-1
-4,-26,2,-1,-5,-10,-7,-6
8,35,36,12,2,9,6,6
-9,-46,-61,-8,-6,2,-5,-18
-9,14,41,-6,-7,-3,-2,-13
0,10,-22,-3,5,-8,-4,0
3,8,-15,-1,0,8,3,-3
-1,31,79,7,5,-2,8,1
3,1,-6,-1,-2,-1,-1,8
-7,-37,-14,-7,-8,-4,-4,-7
1,22,17,2,8,-3,0,0
1,-6,-23,0,1,8,2,3
-2,-11,-2,-3,-6,-4,-3,-6
5,13,15,1,-3,-2,-2,12
-8,-6,-1,-5,4,-7,1,-8
3,-2,-13,0,-2,-3,-3,5
0,3,18,2,1,10,0,-6
4,11,-5,9,4,-10,-1,6
-6,-8,13,-2,-3,-3,-7,-25
2,2,3,-6,-7,1,2,2
2,8,18,10,3,-4,-2,2
4,8,-17,-2,4,2,-1,-3
2,-1,11,5,3,6,5,5
-8,-16,-26,-14,-13,-9,-11,2
4,-5,-12,0,-1,-1,10,10
-1,26,15,-1,0,1,-8,-10
-2,-42,-41,-7,-1,0,1,5
1,24,36,0,-2,1,-1,-6
7,3,-8,0,0,-3,2,8
-10,-17,-12,-5,1,-2,1,-6
14,17,-19,2,6,4,-1,3
-10,21,32,4,-1,3,-3,-7
3,-11,-18,-1,-2,-4,-2,1
-2,1,12,-8,-8,-3,-1,-3
-5,-25,23,3,1,6,0,4
14,12,-36,-1,3,-2,1,2
-9,-8,-48,-4,2,-4,-4,-4
6,30,93,11,1,1,2,2
-11,-31,-36,-16,-16,-5,-1,2
-5,-34,-17,-1,-1,-5,-4,-3
2,14,16,1,2,1,-2,-3
0,-17,-22,-1,3,4,2,-1
1,11,9,2,5,-3,0,0
0,12,-3,8,-5,6,3,2
0,-11,2,-10,-4,-11,-2,3
-3,-7,-34,-6,-4,-4,-12,-12
-8,14,13,-3,-3,-1,-1,-2
5,7,-9,-4,-6,-4,-1,5
0,-6,8,3,-3,2,-1,1
-6,-12,-33,2,11,0,2,0
8,24,8,1,-3,-1,0,0
-14,-41,-11,-4,3,-1,-4,-5
0,5,0,-3,-6,1,-1,-1
1,-4,-1,-8,-8,-2,-1,-1
11,6,3,10,16,6,2,5
-11,11,-3,1,0,0,2,1
-3,-14,-3,-4,-5,1,-1,-2
-10,-10,-8,-6,-11,-3,-3,-2
-2,3,4,-6,-8,-4,-2,-1
8,7,11,2,4,-1,-1,2
6,5,1,1,-2,3,3,8
11,2,5,5,1,2,5,10
0,0,-1,-5,-5,1,11,-7
-2,-15,-3,7,10,1,1,-3
-9,19,-4,-9,4,5,-10,-13
-15,-15,-11,-4,-3,-5,-4,-3
3,9,7,16,14,4,-4,5
15,-7,-4,-8,-11,-3,21,9
-9,-3,1,0,-6,-13,-68,-10
-2,2,1,-3,2,-5,1,-14
1,-5,-6,-7,-4,6,30,-1
-7,3,8,-1,-8,7,17,9
19,-1,6,6,8,1,10,-5
-13,0,-4,-3,1,1,11,30
44,1,2,6,-1,7,9,24
40,17,5,-2,0,2,6,-6
-92,-36,-11,-9,-19,-24,-67,-48
-14,-31,-18,-4,-4,-11,-67,-28
64,43,14,12,13,11,82,69
-72,-32,0,1,-2,-1,-3,-71
25,-5,-1,3,11,20,50,25
-39,-7,1,4,-7,-6,-20,-15
-43,-24,2,-14,-18,-4,-61,-79
51,19,-28,-2,2,-6,-15,69
55,48,16,9,6,11,63,44
14,-22,-13,-5,2,-2,-16,0
13,30,12,7,8,17,6,40
-6,-10,5,-1,-2,-19,-39,-12
-14,-23,-8,-3,-4,-15,-6,-33
29,20,6,1,1,9,38,37
-37,-23,-8,-7,-13,-6,1,-20
13,7,5,2,4,-16,-40,0
15,24,6,7,12,9,5,18
21,-28,4,3,1,9,24,-9
4,16,-5,-3,-6,-13,-17,-15
-41,-12,-6,-8,-9,-1,-6,7
17,5,-2,-3,-2,-2,-20,30
-111,-19,-5,4,2,1,30,-100
-38,-25,-19,-10,-6,-20,-59,-22
40,13,0,3,4,14,54,45
36,9,4,-2,0,0,9,27
14,28,7,-2,-11,-1,-11,5
5,-20,0,2,8,4,8,29
0,14,-12,-4,2,4,24,2
24,-8,0,1,-2,-2,-19,-11
41,26,-2,-5,-4,-6,0,32
-52,-22,-6,-5,-7,-13,-14,-56
-11,-7,5,0,0,-2,-15,-14
-29,-10,1,-2,-2,3,22,-13
48,23,-1,-2,-1,-1,-14,38
22,14,8,-3,1,6,14,2
-20,-7,-1,8,3,-9,-14,6
-24,-27,-2,5,1,15,11,-20
-3,1,-1,-3,9,0,16,4
15,2,-9,-8,-12,-6,-2,-2
2,-6,3,-6,-5,-1,-2,-10
13,18,0,1,-2,-4,3,7
-13,-5,2,-1,1,-8,-4,-4
7,-1,2,4,4,-1,-15,8
34,6,0,-2,-7,11,8,30
-30,-4,3,3,-3,-7,8,-35
0,-15,-22,4,5,-1,1,-6
0,0,30,-3,2,1,-2,-6
-5,-2,-39,-7,-8,-9,-1,10
-6,9,37,2,0,3,-4,-13
-9,-14,25,-10,-7,-7,-2,5
-2,-16,-12,-1,4,4,1,-1
3,17,-5,0,-2,-2,-1,-5
3,2,-9,1,-2,-4,2,10
2,6,2,3,0,7,-14,-17
-7,-6,17,4,4,-8,0,-1
-3,8,5,-3,4,14,4,5
8,4,5,-2,-6,-6,-6,8
-7,-12,9,11,0,0,1,-6
-1,-5,-17,-14,-4,7,6,4
5,-5,-6,-2,-4,-13,-8,-3
1,9,-9,3,4,1,0,-8
-14,-3,8,-9,-9,-3,-1,-8
6,13,-8,8,-2,3,1,1
-1,-3,3,10,9,-4,1,2
-6,-13,-6,-8,-4,-3,-2,-4
0,0,-17,-3,-2,-6,-1,5
8,9,11,8,5,18,3,-2
-1,-4,6,-3,-1,4,0,0
1,-11,16,7,2,-6,1,-1
-7,-40,-69,-9,-2,5,1,-4
2,11,-33,-10,-11,-5,-1,1
-4,-20,-4,-3,6,-2,-4,-2
9,38,28,13,8,9,5,8
-10,-27,-19,-5,-3,1,5,-7
3,-16,11,-5,-4,-3,-6,0
-10,-11,28,-4,-5,-10,-11,-27
5,4,-33,-3,-1,1,-2,2
2,17,33,7,4,2,1,2
-2,-8,1,8,0,-13,-4,-5
4,20,-28,-5,1,5,4,3
-14,-28,-37,-15,-9,-6,-10,-11
6,7,7,0,-1,3,-1,-1
-5,-2,3,3,2,-1,0,4
3,3,23,8,0,8,3,7
-3,-2,-4,0,6,-6,2,-5
5,18,-7,-1,-1,-1,-1,9
1,-4,4,-1,-5,7,-1,-5
-3,3,-10,2,3,-1,5,6
7,-1,43,11,7,3,0,8
-1,11,-24,-13,-7,-4,-3,-20
3,4,22,0,0,-4,-1,6
-5,-21,-23,-9,-13,-2,1,-3
-4,2,9,2,1,-4,-1,6
7,14,-27,11,8,5,2,7
1,2,11,-9,-2,12,-1,-2
-5,-21,-11,-6,-6,-19,-5,-1
-3,-3,26,2,-6,0,-2,-3
2,10,20,6,4,-3,-1,0
5,26,-27,8,8,7,12,-2
-8,-46,-31,-22,-14,-5,-20,3
-8,-31,-16,-2,-3,-2,-2,-10
-3,7,19,1,2,0,-2,1
-2,-4,3,5,-4,-5,0,4
6,31,54,7,-1,2,7,4
3,7,-37,-8,4,-3,-1,5
-7,-10,11,-7,1,2,0,-1
-4,-26,2,-1,-5,-10,-7,-6
8,35,36,12,2,9,6,6
-9,-46,-61,-8,-6,2,-5,-18
-9,14,41,-6,-7,-3,-2,-13
0,10,-22,-3,5,-8,-4,0
3,8,-15,-1,0,8,3,-3
-1,31,79,7,5,-2,8,1
3,1,-6,-1,-2,-1,-1,8
-7,-37,-14,-7,-8,-4,-4,-7
1,22,17,2,8,-3,0,0
1,-6,-23,0,1,8,2,3
-2,-11,-2,-3,-6,-4,-3,-6
5,13,15,1,-3,-2,-2,12
-8,-6,-1,-5,4,-7,1,-8
3,-2,-13,0,-2,-3,-3,5
0,3,18,2,1,10,0,-6
4,11,-5,9,4,-10,-1,6
-6,-8,13,-2,-3,-3,-7,-25
2,2,3,-6,-7,1,2,2
2,8,18,10,3,-4,-2,2
4,8,-17,-2,4,2,-1,-3
2,-1,11,5,3,6,5,5
-8,-16,-26,-14,-13,-9,-11,2
4,-5,-12,0,-1,-1,10,10
-1,26,15,-1,0,1,-8,-10
-2,-42,-41,-7,-1,0,1,5
1,24,36,0,-2,1,-1,-6
7,3,-8,0,0,-3,2,8
-10,-17,-12,-5,1,-2,1,-6
14,17,-19,2,6,4,-1,3
-10,21,32,4,-1,3,-3,-7
3,-11,-18,-1,-2,-4,-2,1
-2,1,12,-8,-8,-3,-1,-3
-5,-25,23,3,1,6,0,4
